V_top_V,I_e_A,I_h_A,I_total_A
-0.5,-8.008200716319967e-11,-9.547403922045002e-08,-9.555412122761322e-08
-0.45,-7.810222594816629e-11,-7.835949810165002e-08,-7.843760032759818e-08
-0.4,-7.618201644461469e-11,-1.0606707864720002e-07,-1.0614326066364464e-07
-0.35000000000000003,-7.43178929977476e-11,-6.627121440000001e-08,-6.634553229299776e-08
-0.30000000000000004,-7.250616566520874e-11,-5.862931498950001e-08,-5.870182115516522e-08
-0.25000000000000006,-7.074089868943611e-11,-5.672505306322501e-08,-5.679579396191444e-08
-0.20000000000000007,-6.900026052617035e-11,-5.0819666567550006e-08,-5.088866682807618e-08
-0.15000000000000008,-6.71547190546623e-11,-5.1041260940700005e-08,-5.1108415659754664e-08
-0.10000000000000007,-6.43490569268273e-11,-2.3184570162750004e-09,-2.3828060732018276e-09
-0.05000000000000007,-5.484202629931932e-11,-7.349891872050001e-09,-7.404733898349321e-09
-6.938893903907228e-17,-8.693443938556645e-25,-2.1558854434500004e-09,-2.1558854434500012e-09
0.04999999999999993,3.602135490599202e-10,2.6698497757537506e-08,2.7058711306597427e-08
0.09999999999999994,2.775905363080379e-09,1.1314722596688752e-07,1.159231313299679e-07
0.14999999999999994,1.9023610703803402e-08,3.445802857359751e-07,3.636038964397785e-07
0.19999999999999996,1.283294428575943e-07,1.0080071751381564e-06,1.1363366179957507e-06
0.24999999999999994,8.635259375587619e-07,3.0516641291052753e-06,3.915190066664037e-06
0.29999999999999993,5.80684829016248e-06,1.0124612479256645e-05,1.5931460769419124e-05
0.3499999999999999,3.9030823953257996e-05,3.947084665443666e-05,7.850167060769466e-05
0.3999999999999999,0.000262212527169106,0.00018654040521116932,0.0004487529323802753
0.4499999999999999,0.0017604718981224141,0.0010354523053657508,0.0027959242034881647
0.4999999999999999,0.011810543175282547,0.006344611998005865,0.01815515517328841
0.5499999999999999,0.07915708028035025,0.04084222044657248,0.11999930072692272
0.6,0.5298707325417191,0.26866201017657987,0.798532742718299
0.65,3.5410614510497704,1.7819694770259416,5.3230309280757115
0.7000000000000001,23.608869720091008,11.841841757768867,35.450711477859876
0.7500000000000001,156.7799522573316,78.52415325808983,235.3041055154214
0.8000000000000002,1031.2125323783596,516.1444487507628,1547.3569811291222
